Unit,Plot,Species,myc.species. type,myc.legacy.type,Num.,Tag ID,Survival,Prox
10,5,ACRU,AM,AM,1,10_5 ACRU_1,1,Center
10,5,ACRU,AM,AM,2,10_5 ACRU_2,0,Center
10,5,ACRU,AM,AM,4,10_5 ACRU_4,1,Center
10,5,ACRU,AM,AM,5,10_5 ACRU_5,1,Edge
10,5,ACRU,AM,AM,6,10_5 ACRU_6,1,Edge
10,5,ACRU,AM,AM,8,10_5 ACRU_8,1,Edge
10,5,ACRU,AM,AM,9,10_5 ACRU_9,1,Center
10,5,ACRU,AM,AM,11,10_5 ACRU_11,1,Center
10,5,ACRU,AM,AM,12,10_5 ACRU_12,1,Edge
10,5,ACRU,AM,AM,13,10_5 ACRU_13,1,Edge
10,5,ACRU,AM,AM,14,10_5 ACRU_14,1,Edge
10,5,ACRU,AM,AM,15,10_5 ACRU_15,1,Edge
10,5,ACRU,AM,AM,16,10_5 ACRU_16,1,Edge
10,5,ACRU,AM,AM,17,10_5 ACRU_17,1,Center
10,5,ACRU,AM,AM,18,10_5 ACRU_18,1,Center
10,5,ACRU,AM,AM,19,10_5 ACRU_19,1,Edge
10,5,ACRU,AM,AM,20,10_5 ACRU_20,1,Edge
10,5,ACSA,AM,AM,1,10_5 ACSA_1,1,Edge
10,5,ACSA,AM,AM,2,10_5 ACSA_2,1,Edge
10,5,ACSA,AM,AM,4,10_5 ACSA_4,1,Center
10,5,ACSA,AM,AM,6,10_5 ACSA_6,1,Center
10,5,ACSA,AM,AM,7,10_5 ACSA_7,1,Edge
10,5,ACSA,AM,AM,8,10_5 ACSA_8,1,Edge
10,5,ACSA,AM,AM,9,10_5 ACSA_9,1,Center
10,5,ACSA,AM,AM,11,10_5 ACSA_11,1,Center
10,5,ACSA,AM,AM,12,10_5 ACSA_12,1,Edge
10,5,ACSA,AM,AM,13,10_5 ACSA_13,1,Edge
10,5,ACSA,AM,AM,14,10_5 ACSA_14,1,Edge
10,5,ACSA,AM,AM,15,10_5 ACSA_15,1,Edge
10,5,ACSA,AM,AM,16,10_5 ACSA_16,0,Edge
10,5,ACSA,AM,AM,17,10_5 ACSA_17,1,Center
10,5,ACSA,AM,AM,18,10_5 ACSA_18,1,Center
10,5,ACSA,AM,AM,19,10_5 ACSA_19,1,Edge
10,5,ACSA,AM,AM,20,10_5 ACSA_20,1,Edge
10,5,NYSY,AM,AM,1,10_5 NYSY_1,1,Edge
10,5,NYSY,AM,AM,2,10_5 NYSY_2,1,Edge
10,5,NYSY,AM,AM,4,10_5 NYSY_4,0,Center
10,5,NYSY,AM,AM,5,10_5 NYSY_5,0,Center
10,5,NYSY,AM,AM,6,10_5 NYSY_6,0,Center
10,5,NYSY,AM,AM,7,10_5 NYSY_7,1,Center
10,5,NYSY,AM,AM,8,10_5 NYSY_8,1,Center
10,5,NYSY,AM,AM,9,10_5 NYSY_9,0,Edge
10,5,NYSY,AM,AM,10,10_5 NYSY_10,1,Edge
10,5,NYSY,AM,AM,12,10_5 NYSY_12,1,Edge
10,5,NYSY,AM,AM,13,10_5 NYSY_13,1,Center
10,5,NYSY,AM,AM,15,10_5 NYSY_15,1,Edge
10,5,NYSY,AM,AM,16,10_5 NYSY_16,1,Edge
10,5,NYSY,AM,AM,17,10_5 NYSY_17,0,Center
10,5,NYSY,AM,AM,18,10_5 NYSY_18,0,Center
10,5,NYSY,AM,AM,19,10_5 NYSY_19,1,Edge
10,5,NYSY,AM,AM,20,10_5 NYSY_20,0,Edge
10,5,PRSE,AM,AM,4,10_5 PRSE_4,1,Edge
10,5,PRSE,AM,AM,5,10_5 PRSE_5,1,Edge
10,5,PRSE,AM,AM,6,10_5 PRSE_6,1,Edge
10,5,PRSE,AM,AM,7,10_5 PRSE_7,1,Edge
10,5,PRSE,AM,AM,8,10_5 PRSE_8,1,Edge
10,5,PRSE,AM,AM,9,10_5 PRSE_9,1,Edge
10,5,PRSE,AM,AM,10,10_5 PRSE_10,1,Center
10,5,PRSE,AM,AM,11,10_5 PRSE_11,1,Edge
10,5,PRSE,AM,AM,13,10_5 PRSE_13,1,Center
10,5,PRSE,AM,AM,14,10_5 PRSE_14,1,Center
10,5,PRSE,AM,AM,16,10_5 PRSE_16,1,Edge
10,5,PRSE,AM,AM,17,10_5 PRSE_17,1,Edge
10,5,PRSE,AM,AM,18,10_5 PRSE_18,1,Edge
10,5,PRSE,AM,AM,19,10_5 PRSE_19,1,Center
10,5,PRSE,AM,AM,20,10_5 PRSE_20,1,Edge
10,5,BELE,EcM,AM,2,10_5 BELE_2,0,Edge
10,5,BELE,EcM,AM,3,10_5 BELE_3,0,Edge
10,5,BELE,EcM,AM,4,10_5 BELE_4,1,Center
10,5,BELE,EcM,AM,5,10_5 BELE_5,0,Center
10,5,BELE,EcM,AM,6,10_5 BELE_6,0,Edge
10,5,BELE,EcM,AM,7,10_5 BELE_7,0,Edge
10,5,BELE,EcM,AM,8,10_5 BELE_8,1,Edge
10,5,BELE,EcM,AM,9,10_5 BELE_9,1,Edge
10,5,BELE,EcM,AM,11,10_5 BELE_11,0,Edge
10,5,BELE,EcM,AM,12,10_5 BELE_12,0,Edge
10,5,BELE,EcM,AM,14,10_5 BELE_14,0,Center
10,5,BELE,EcM,AM,15,10_5 BELE_15,0,Center
10,5,BELE,EcM,AM,16,10_5 BELE_16,0,Edge
10,5,BELE,EcM,AM,17,10_5 BELE_17,0,Edge
10,5,BELE,EcM,AM,18,10_5 BELE_18,0,Edge
10,5,BELE,EcM,AM,19,10_5 BELE_19,1,Center
10,5,BELE,EcM,AM,20,10_5 BELE_20,0,Center
10,5,CACO,EcM,AM,1,10_5 CACO_1,1,Edge
10,5,CACO,EcM,AM,2,10_5 CACO_2,1,Center
10,5,CACO,EcM,AM,3,10_5 CACO_3,1,Center
10,5,CACO,EcM,AM,5,10_5 CACO_5,1,Edge
10,5,CACO,EcM,AM,6,10_5 CACO_6,1,Edge
10,5,CACO,EcM,AM,7,10_5 CACO_7,1,Center
10,5,CACO,EcM,AM,8,10_5 CACO_8,1,Edge
10,5,CACO,EcM,AM,9,10_5 CACO_9,1,Center
