ID2,X,Year,Measurement.date,Unit.x,Plot.x,Species.x,Number,Health,Condition,HT.cm,RCD.mm,Notes,ID3,ID.x,ID4,HT.cm.initial,RCD.mm.initial,Soil,Slash,VSMxtree,Planting.date,MT,Treatment,SGgw,Time.months,Biomass.g,Biomass.initial.g,RG.g.month,survival,bi.cond,placeholder,MYC,ID_new.x,Unit.y,Species.y,myc.legacy.type,myc.species.type,Plot.y,Num.,Tag.ID,Prox,plot,Position,N15.corrected,Location,ID.y,REALGrowth,myc.species..type,Survival,Moisture,leg_pos,ID_new.y,growth_prcnt_chnge,prcnt_chnge_growth,PCG,myc_pos
10.5.ACRU.1,1,2021,8/23/2021,10,5,ACRU,1,L,HI1 ,27.5,3.2,,2021.10.5.ACRU.1,10.5,2021.10.5.ACRU,25,2.9,U,0,20.7,5/17/2021,AM,Cut,0.49,3.266666667,1.444232533,1.078302167,0.1120195,1,1,1,AM.s,___________,10,ACRU,AM,AM,5,1,10_5 ACRU_1,Center,5,Center,2.293890203,10_5,10_5.Center.ACRU,4.932514466,AM,1,20.7,AM Center,10.5.ACRU.1,0,0,10,AM Center
10.5.ACRU.1,1,2021,8/23/2021,10,5,ACRU,1,L,HI1 ,27.5,3.2,,2021.10.5.ACRU.1,10.5,2021.10.5.ACRU,25,2.9,U,0,20.7,5/17/2021,AM,Cut,0.49,3.266666667,1.444232533,1.078302167,0.1120195,1,1,1,AM.s,___________,10,ACRU,AM,AM,5,1,10_5 ACRU_1,Center,5,Edge,1.026485131,10_5,10_5.Edge.ACRU,16.9651096,AM,1,20.7,AM Edge,10.5.ACRU.1,0,0,10,AM Edge
10.5.ACRU.1,1286,2022,9/12/2022,10,5,ACRU,1,L,H1,51,5.8,,2022.10.5.ACRU.1,10.5,2022.10.5.ACRU,25,2.9,U,0,20.7,5/17/2021,AM,Cut,0.49,16.1,8.79894568,1.078302167,0.479543075,1,1,1,AM.s,___________,10,ACRU,AM,AM,5,1,10_5 ACRU_1,Center,5,Center,2.293890203,10_5,10_5.Center.ACRU,4.932514466,AM,1,20.7,AM Center,10.5.ACRU.1,0,0,104,AM Center
10.5.ACRU.1,1286,2022,9/12/2022,10,5,ACRU,1,L,H1,51,5.8,,2022.10.5.ACRU.1,10.5,2022.10.5.ACRU,25,2.9,U,0,20.7,5/17/2021,AM,Cut,0.49,16.1,8.79894568,1.078302167,0.479543075,1,1,1,AM.s,___________,10,ACRU,AM,AM,5,1,10_5 ACRU_1,Center,5,Edge,1.026485131,10_5,10_5.Edge.ACRU,16.9651096,AM,1,20.7,AM Edge,10.5.ACRU.1,0,0,104,AM Edge
10.5.ACRU.11,1296,2022,9/12/2022,10,5,ACRU,11,L,H1,74,12.9,,2022.10.5.ACRU.11,10.5,2022.10.5.ACRU,21.5,4.4,U,0,12.9,5/17/2021,AM,Cut,0.49,16.1,63.15614508,2.134756213,3.790148377,1,1,1,AM.s,____________,10,ACRU,AM,AM,5,11,10_5 ACRU_11,Center,5,Center,2.293890203,10_5,10_5.Center.ACRU,4.932514466,AM,1,12.9,AM Center,10.5.ACRU.11,0,0,244.1860465,AM Center
10.5.ACRU.11,1296,2022,9/12/2022,10,5,ACRU,11,L,H1,74,12.9,,2022.10.5.ACRU.11,10.5,2022.10.5.ACRU,21.5,4.4,U,0,12.9,5/17/2021,AM,Cut,0.49,16.1,63.15614508,2.134756213,3.790148377,1,1,1,AM.s,____________,10,ACRU,AM,AM,5,11,10_5 ACRU_11,Center,5,Edge,1.026485131,10_5,10_5.Edge.ACRU,16.9651096,AM,1,12.9,AM Edge,10.5.ACRU.11,0,0,244.1860465,AM Edge
10.5.ACRU.11,11,2021,8/23/2021,10,5,ACRU,11,L,HI2 ,42,6.2,,2021.10.5.ACRU.11,10.5,2021.10.5.ACRU,21.5,4.4,U,0,12.9,5/17/2021,AM,Cut,0.49,3.266666667,8.28012976,2.134756213,1.8812368,1,1,1,AM.s,____________,10,ACRU,AM,AM,5,11,10_5 ACRU_11,Center,5,Center,2.293890203,10_5,10_5.Center.ACRU,4.932514466,AM,1,12.9,AM Center,10.5.ACRU.11,0,0,95.34883721,AM Center
10.5.ACRU.11,11,2021,8/23/2021,10,5,ACRU,11,L,HI2 ,42,6.2,,2021.10.5.ACRU.11,10.5,2021.10.5.ACRU,21.5,4.4,U,0,12.9,5/17/2021,AM,Cut,0.49,3.266666667,8.28012976,2.134756213,1.8812368,1,1,1,AM.s,____________,10,ACRU,AM,AM,5,11,10_5 ACRU_11,Center,5,Edge,1.026485131,10_5,10_5.Edge.ACRU,16.9651096,AM,1,12.9,AM Edge,10.5.ACRU.11,0,0,95.34883721,AM Edge
10.5.ACRU.12,12,2021,8/23/2021,10,5,ACRU,12,L,HI1 ,61,6.6,,2021.10.5.ACRU.12,10.5,2021.10.5.ACRU,24.5,5.2,U,0,33.4,5/17/2021,AM,Cut,0.49,3.266666667,13.62768792,3.397639093,3.1316476,1,1,1,AM.s,____________,10,ACRU,AM,AM,5,12,10_5 ACRU_12,Edge,5,Edge,1.026485131,10_5,10_5.Edge.ACRU,16.9651096,AM,1,33.4,AM Edge,10.5.ACRU.12,0,0,148.9795918,AM Edge
10.5.ACRU.12,12,2021,8/23/2021,10,5,ACRU,12,L,HI1 ,61,6.6,,2021.10.5.ACRU.12,10.5,2021.10.5.ACRU,24.5,5.2,U,0,33.4,5/17/2021,AM,Cut,0.49,3.266666667,13.62768792,3.397639093,3.1316476,1,1,1,AM.s,____________,10,ACRU,AM,AM,5,12,10_5 ACRU_12,Edge,5,Center,2.293890203,10_5,10_5.Center.ACRU,4.932514466,AM,1,33.4,AM Center,10.5.ACRU.12,0,0,148.9795918,AM Center
