Unit ,Plot,Species,myc.species.type,myc.legacy.type,Num.,Tag ID,Prox
10,5,ACRU,AM,AM,1,10_5 ACRU_1,Center
10,5,ACRU,AM,AM,2,10_5 ACRU_2,Center
10,5,ACRU,AM,AM,3,10_5 ACRU_3,n/a
10,5,ACRU,AM,AM,4,10_5 ACRU_4,Center
10,5,ACRU,AM,AM,5,10_5 ACRU_5,Edge
10,5,ACRU,AM,AM,6,10_5 ACRU_6,Edge
10,5,ACRU,AM,AM,7,10_5 ACRU_7,n/a
10,5,ACRU,AM,AM,8,10_5 ACRU_8,Edge
10,5,ACRU,AM,AM,9,10_5 ACRU_9,Center
10,5,ACRU,AM,AM,10,10_5 ACRU_10,n/a
10,5,ACRU,AM,AM,11,10_5 ACRU_11,Center
10,5,ACRU,AM,AM,12,10_5 ACRU_12,Edge
10,5,ACRU,AM,AM,13,10_5 ACRU_13,Edge
10,5,ACRU,AM,AM,14,10_5 ACRU_14,Edge
10,5,ACRU,AM,AM,15,10_5 ACRU_15,Edge
10,5,ACRU,AM,AM,16,10_5 ACRU_16,Edge
10,5,ACRU,AM,AM,17,10_5 ACRU_17,Center
10,5,ACRU,AM,AM,18,10_5 ACRU_18,Center
10,5,ACRU,AM,AM,19,10_5 ACRU_19,Edge
10,5,ACRU,AM,AM,20,10_5 ACRU_20,Edge
10,5,ACSA,AM,AM,1,10_5 ACSA_1,Edge
10,5,ACSA,AM,AM,2,10_5 ACSA_2,Edge
10,5,ACSA,AM,AM,3,10_5 ACSA_3,n/a
10,5,ACSA,AM,AM,4,10_5 ACSA_4,Center
10,5,ACSA,AM,AM,5,10_5 ACSA_5,n/a
10,5,ACSA,AM,AM,6,10_5 ACSA_6,Center
10,5,ACSA,AM,AM,7,10_5 ACSA_7,Edge
10,5,ACSA,AM,AM,8,10_5 ACSA_8,Edge
10,5,ACSA,AM,AM,9,10_5 ACSA_9,Center
10,5,ACSA,AM,AM,10,10_5 ACSA_10,n/a
10,5,ACSA,AM,AM,11,10_5 ACSA_11,Center
10,5,ACSA,AM,AM,12,10_5 ACSA_12,Edge
10,5,ACSA,AM,AM,13,10_5 ACSA_13,Edge
10,5,ACSA,AM,AM,14,10_5 ACSA_14,Edge
10,5,ACSA,AM,AM,15,10_5 ACSA_15,Edge
10,5,ACSA,AM,AM,16,10_5 ACSA_16,Edge
10,5,ACSA,AM,AM,17,10_5 ACSA_17,Center
10,5,ACSA,AM,AM,18,10_5 ACSA_18,Center
10,5,ACSA,AM,AM,19,10_5 ACSA_19,Edge
10,5,ACSA,AM,AM,20,10_5 ACSA_20,Edge
10,5,NYSY,AM,AM,1,10_5 NYSY_1,Edge
10,5,NYSY,AM,AM,2,10_5 NYSY_2,Edge
10,5,NYSY,AM,AM,3,10_5 NYSY_3,n/a
10,5,NYSY,AM,AM,4,10_5 NYSY_4,Center
10,5,NYSY,AM,AM,5,10_5 NYSY_5,Center
10,5,NYSY,AM,AM,6,10_5 NYSY_6,Center
10,5,NYSY,AM,AM,7,10_5 NYSY_7,Center
10,5,NYSY,AM,AM,8,10_5 NYSY_8,Center
10,5,NYSY,AM,AM,9,10_5 NYSY_9,Edge
10,5,NYSY,AM,AM,10,10_5 NYSY_10,Edge
10,5,NYSY,AM,AM,11,10_5 NYSY_11,n/a
10,5,NYSY,AM,AM,12,10_5 NYSY_12,Edge
10,5,NYSY,AM,AM,13,10_5 NYSY_13,Center
10,5,NYSY,AM,AM,14,10_5 NYSY_14,n/a
10,5,NYSY,AM,AM,15,10_5 NYSY_15,Edge
10,5,NYSY,AM,AM,16,10_5 NYSY_16,Edge
10,5,NYSY,AM,AM,17,10_5 NYSY_17,Center
10,5,NYSY,AM,AM,18,10_5 NYSY_18,Center
10,5,NYSY,AM,AM,19,10_5 NYSY_19,Edge
10,5,NYSY,AM,AM,20,10_5 NYSY_20,Edge
10,5,PRSE,AM,AM,1,10_5 PRSE_1,n/a
10,5,PRSE,AM,AM,2,10_5 PRSE_2,n/a
10,5,PRSE,AM,AM,3,10_5 PRSE_3,n/a
10,5,PRSE,AM,AM,4,10_5 PRSE_4,Edge
10,5,PRSE,AM,AM,5,10_5 PRSE_5,Edge
10,5,PRSE,AM,AM,6,10_5 PRSE_6,Edge
10,5,PRSE,AM,AM,7,10_5 PRSE_7,Edge
10,5,PRSE,AM,AM,8,10_5 PRSE_8,Edge
10,5,PRSE,AM,AM,9,10_5 PRSE_9,Edge
10,5,PRSE,AM,AM,10,10_5 PRSE_10,Center
10,5,PRSE,AM,AM,11,10_5 PRSE_11,Edge
10,5,PRSE,AM,AM,12,10_5 PRSE_12,n/a
10,5,PRSE,AM,AM,13,10_5 PRSE_13,Center
10,5,PRSE,AM,AM,14,10_5 PRSE_14,Center
10,5,PRSE,AM,AM,15,10_5 PRSE_15,n/a
10,5,PRSE,AM,AM,16,10_5 PRSE_16,Edge
10,5,PRSE,AM,AM,17,10_5 PRSE_17,Edge
10,5,PRSE,AM,AM,18,10_5 PRSE_18,Edge
10,5,PRSE,AM,AM,19,10_5 PRSE_19,Center
10,5,PRSE,AM,AM,20,10_5 PRSE_20,Edge
10,5,BELE,EcM,AM,1,10_5 BELE_1,n/a
10,5,BELE,EcM,AM,2,10_5 BELE_2,Edge
10,5,BELE,EcM,AM,3,10_5 BELE_3,Edge
10,5,BELE,EcM,AM,4,10_5 BELE_4,Center
10,5,BELE,EcM,AM,5,10_5 BELE_5,Center
10,5,BELE,EcM,AM,6,10_5 BELE_6,Edge
10,5,BELE,EcM,AM,7,10_5 BELE_7,Edge
10,5,BELE,EcM,AM,8,10_5 BELE_8,Edge
10,5,BELE,EcM,AM,9,10_5 BELE_9,Edge
10,5,BELE,EcM,AM,10,10_5 BELE_10,n/a
10,5,BELE,EcM,AM,11,10_5 BELE_11,Edge
10,5,BELE,EcM,AM,12,10_5 BELE_12,Edge
10,5,BELE,EcM,AM,13,10_5 BELE_13,n/a
10,5,BELE,EcM,AM,14,10_5 BELE_14,Center
10,5,BELE,EcM,AM,15,10_5 BELE_15,Center
10,5,BELE,EcM,AM,16,10_5 BELE_16,Edge
10,5,BELE,EcM,AM,17,10_5 BELE_17,Edge
10,5,BELE,EcM,AM,18,10_5 BELE_18,Edge
10,5,BELE,EcM,AM,19,10_5 BELE_19,Center
10,5,BELE,EcM,AM,20,10_5 BELE_20,Center
10,5,CACO,EcM,AM,1,10_5 CACO_1,Edge
10,5,CACO,EcM,AM,2,10_5 CACO_2,Center
10,5,CACO,EcM,AM,3,10_5 CACO_3,Center
10,5,CACO,EcM,AM,4,10_5 CACO_4,n/a
10,5,CACO,EcM,AM,5,10_5 CACO_5,Edge
10,5,CACO,EcM,AM,6,10_5 CACO_6,Edge
10,5,CACO,EcM,AM,7,10_5 CACO_7,Center
10,5,CACO,EcM,AM,8,10_5 CACO_8,Edge
10,5,CACO,EcM,AM,9,10_5 CACO_9,Center
10,5,CACO,EcM,AM,10,10_5 CACO_10,Edge
10,5,CACO,EcM,AM,11,10_5 CACO_11,Edge
10,5,CACO,EcM,AM,12,10_5 CACO_12,Edge
10,5,CACO,EcM,AM,13,10_5 CACO_13,n/a
10,5,CACO,EcM,AM,14,10_5 CACO_14,n/a
10,5,CACO,EcM,AM,15,10_5 CACO_15,n/a
10,5,CACO,EcM,AM,16,10_5 CACO_16,Center
10,5,CACO,EcM,AM,17,10_5 CACO_17,n/a
10,5,CACO,EcM,AM,18,10_5 CACO_18,Edge
10,5,CACO,EcM,AM,19,10_5 CACO_19,Edge
10,5,CACO,EcM,AM,20,10_5 CACO_20,n/a
10,5,QURU,EcM,AM,1,10_5 QURU_1,Edge
10,5,QURU,EcM,AM,2,10_5 QURU_2,Edge
