Number,Moisture,resin.g,NO3,PO4,Unit,Plot,Direction,Date,tin.g,tin.and.dry.g,Blank.value.NO3,Blank.value.PO4,Extraction vol (ml),NO3.mg.gresin,PO4.mg.gresin,,Moisture,Notes,,Blanks 65_128,Nutrient,
65,,,3.74,2.07,1,1,W,Fall 2020,1.9035,7.7347,0.83,-0.02,80.000,0.040,0.029,,,,,0.77,NO3,Second half of samples
66,,,3.90,0.19,1,1,E,Fall 2020,1.912,7.6529,0.83,-0.02,80.000,0.043,0.003,,,,,0.89,NO3,First half of samples
67,,,3.48,6.15,1,1,N,Fall 2020,1.8946,8.433,0.83,-0.02,80.000,0.032,0.075,,,,,-0.01,PO4,Second half of samples
68,,,3.60,0.07,1,1,S,Fall 2020,1.9133,7.8086,0.83,-0.02,80.000,0.038,0.001,,,,,-0.03,PO4,First half of samples
69,,,3.60,6.95,1,10,E,Fall 2020,1.9148,7.9832,0.83,-0.02,80.000,0.037,0.092,,,,,0.02,NH4,Second half of samples
70,,,3.34,0.18,1,10,W,Fall 2020,1.9101,6.7721,0.83,-0.02,80.000,0.041,0.003,,,,,0,NH4,First half of samples
71,,,3.43,6.55,1,10,S,Fall 2020,1.9039,7.4075,0.83,-0.02,80.000,0.038,0.096,,,,,,,
72,,,3.04,1.75,1,10,N,Fall 2020,1.898,6.575,0.83,-0.02,80.000,0.038,0.030,,,,,,,
73,,,3.90,-0.04,2,5,SW,Fall 2020,1.9003,8.4818,0.83,-0.02,80.000,0.037,0.000,,,,,,,
74,,,4.00,1.16,2,5,NW,Fall 2020,1.9152,8.5258,0.83,-0.02,80.000,0.038,0.014,,,,,,,
75,,,3.62,0.64,2,5,SE,Fall 2020,1.9097,7.5468,0.83,-0.02,80.000,0.040,0.009,,,,,,,
76,,,3.16,-0.13,2,5,NE,Fall 2020,1.9211,6.5761,0.83,-0.02,80.000,0.040,-0.002,,,,,,,
77,,,4.11,-0.08,2,9,W,Fall 2020,1.9119,7.85,0.83,-0.02,80.000,0.044,-0.001,,,,,,,
78,,,3.46,-0.16,2,9,S,Fall 2020,1.9024,7.3141,0.83,-0.02,80.000,0.039,-0.002,,,,,,,
79,,,3.68,-0.14,2,9,N,Fall 2020,1.8895,7.3656,0.83,-0.02,80.000,0.042,-0.002,,,,,,,
80,,,4.96,-0.11,2,9,E,Fall 2020,1.9176,6.7843,0.83,-0.02,80.000,0.068,-0.002,,,,,,,
81,,,3.98,0.62,3,5,N,Fall 2020,1.9168,8.0256,0.83,-0.02,80.000,0.041,0.008,,,,,,,
82,,,3.36,0.06,3,5,W,Fall 2020,1.9159,7.2161,0.83,-0.02,80.000,0.038,0.001,,,,,,,
83,,,3.98,1.42,3,5,S,Fall 2020,1.9213,8.1347,0.83,-0.02,80.000,0.041,0.019,,,,,,,
84,,,3.32,0.73,3,5,E,Fall 2020,1.9284,7.9953,0.83,-0.02,80.000,0.033,0.010,,,,,,,
85,,,4.21,-0.12,4,10,N,Fall 2020,1.1984,8.75,0.83,-0.02,80.000,0.036,-0.001,,,,,,,
86,,,7.94,-0.07,4,10,E,Fall 2020,1.9266,9.3487,0.83,-0.02,80.000,0.077,-0.001,,,,,,,
87,,,4.76,-0.24,4,10,W,Fall 2020,1.9073,7.6015,0.83,-0.02,80.000,0.055,-0.003,,,,,,,
88,,,7.49,-0.15,4,10,S,Fall 2020,1.8917,8.8653,0.83,-0.02,80.000,0.076,-0.001,,,,,,,
89,,,14.29,-0.18,6,5,E,Fall 2020,1.8898,8.4733,0.83,-0.02,80.000,0.164,-0.002,,,,,,,
90,,,26.38,-0.23,6,5,W,Fall 2020,1.888,8.247,0.83,-0.02,80.000,0.321,-0.003,,,,,,,
91,,,4.75,-0.22,6,5,N,Fall 2020,1.909,8.387,0.83,-0.02,80.000,0.048,-0.002,,,,,,,
92,,,3.53,-0.21,6,5,S,Fall 2020,1.9158,6.9209,0.83,-0.02,80.000,0.043,-0.003,,,,,,,
93,,,3.51,-0.23,8,1,S,Fall 2020,1.9103,7.7029,0.83,-0.02,80.000,0.037,-0.003,,,,,,,
94,,,3.80,-0.16,8,1,E,Fall 2020,1.918,7.1065,0.83,-0.02,80.000,0.046,-0.002,,,,,,,
95,,,4.11,0.00,8,1,N,Fall 2020,1.9147,7.3373,0.83,-0.02,80.000,0.048,0.000,,,,,,,
96,,,5.32,-0.08,8,1,W,Fall 2020,1.9165,8.9071,0.83,-0.02,80.000,0.051,-0.001,,,,,,,
97,,,4.89,0.01,10,5,E,Fall 2020,1.901,7.3125,1.43,-0.02,80.000,0.051,0.001,,,,,,,
98,,,7.85,-0.05,10,5,SE,Fall 2020,1.8902,9.7937,1.43,-0.02,80.000,0.065,0.000,,,,,,,
99,,,7.28,0.00,10,5,N,Fall 2020,1.9151,8.0734,1.43,-0.02,80.000,0.076,0.000,,,,,,,
100,,,5.64,0.03,10,5,W,Fall 2020,1.9228,7.874,1.43,-0.02,80.000,0.057,0.001,,,,,,,
101,,,3.79,0.07,12,11,E,Fall 2020,1.913,6.9614,1.43,-0.02,80.000,0.037,0.001,,,,,,,
102,,,8.89,0.14,12,11,W,Fall 2020,1.9205,9.0792,1.43,-0.02,80.000,0.083,0.002,,,,,,,
103,,,5.17,-0.02,12,11,S,Fall 2020,1.9284,7.7286,1.43,-0.02,80.000,0.052,0.000,,,,,,,
104,,,2.73,0.46,12,11,N,Fall 2020,1.9162,4.3279,1.43,-0.02,80.000,0.043,0.016,,,,,,,
105,,,5.97,0.25,13,5,W,Fall 2020,1.9196,8.1508,1.43,-0.02,80.000,0.058,0.004,,,,,,,
106,,,6.80,0.30,13,5,S,Fall 2020,1.9199,8.4881,1.43,-0.02,80.000,0.065,0.004,,,,,,,
107,,,4.58,0.03,13,5,E,Fall 2020,1.9056,7.5868,1.43,-0.02,80.000,0.044,0.001,,,,,,,
108,,,6.44,0.02,13,5,NW,Fall 2020,1.8989,6.9841,1.43,-0.02,80.000,0.079,0.001,,,,,,,
109,,,4.09,0.26,14,1,S,Fall 2020,1.9019,8.598,1.43,-0.02,80.000,0.032,0.003,,,,,,,
110,,,4.16,-0.02,14,1,N,Fall 2020,1.9221,8.1682,1.43,-0.02,80.000,0.035,0.000,,,,,,,
111,,,4.19,-0.05,14,1,W,Fall 2020,1.9235,8.1622,1.43,-0.02,80.000,0.035,0.000,,,,,,,
