Moisture,Number,resin.g,NH4,Unit,Plot,Direction,Date,tin.g,tin.and.dry.g,Blank.value,NH4.adjusted,,Notes
,2,,1.78,1,1,E,Fall 2020,1.0054,8.7984,0,0.229,,
,3,,2.92,1,1,N,Fall 2020,1.014,10.6802,0,0.303,,
,1,,1.27,1,1,S,Fall 2020,1.9083,8.5651,0,0.190,,
,4,,1.43,1,1,W,Fall 2020,1.0028,9.9387,0,0.160,,
,6,,1.37,1,10,E,Fall 2020,1.0057,9.5308,0,0.160,,
,7,,1.03,1,10,N,Fall 2020,0.9949,8.7074,0,0.134,,
,5,,3.12,1,10,S,Fall 2020,1.0003,7.8278,0,0.457,,
,8,,1.10,1,10,W,Fall 2020,1.003,10.9748,0,0.110,,
,10,,0.81,2,5,NE,Fall 2020,0.9982,9.8295,0,0.091,,
,9,,1.27,2,5,NW,Fall 2020,1.0161,8.7752,0,0.163,,
,11,,1.14,2,5,SE,Fall 2020,0.9887,9.5075,0,0.134,,
,12,,1.50,2,5,SW,Fall 2020,1.0002,6.5859,0,0.269,,
,16,,1.15,2,9,E,Fall 2020,1.0037,7.8629,0,0.167,,
,13,,1.27,2,9,N,Fall 2020,1.0057,10.5113,0,0.133,,
,15,,1.93,2,9,S,Fall 2020,1.0001,10.9532,0,0.193,,
,14,,1.30,2,9,W,Fall 2020,0.994,8.2882,0,0.178,,
,19,,0.73,3,5,E,Fall 2020,0.9983,8.1553,0,0.102,,"hole in tin, some resin lost"
,20,,1.41,3,5,N,Fall 2020,1.0082,9.9059,0,0.158,,
,18,,1.00,3,5,S,Fall 2020,1.0017,7.4812,0,0.154,,
,17,,0.88,3,5,W,Fall 2020,1.0013,8.7006,0,0.114,,
,21,,1.80,4,10,E,Fall 2020,0.9853,9.1302,0,0.221,,
,23,,1.08,4,10,N,Fall 2020,1.0057,9.3539,0,0.129,,
,24,,1.18,4,10,S,Fall 2020,1.0107,8.7816,0,0.152,,
,22,,1.16,4,10,W,Fall 2020,0.9991,7.7963,0,0.171,,
,27,,0.91,6,5,E,Fall 2020,0.9933,10.4515,0,0.097,,
,28,,0.96,6,5,N,Fall 2020,0.9883,8.1722,0,0.134,,
,25,,1.10,6,5,S,Fall 2020,0.995,8.8923,0,0.139,,
,26,,1.22,6,5,W,Fall 2020,1.0101,9.1696,0,0.149,,
,32,,0.86,8,1,E,Fall 2020,1.0068,8.5620,0,0.114,,
,29,,1.73,8,1,N,Fall 2020,1.0127,7.0609,0,0.287,,
,31,,1.27,8,1,S,Fall 2020,1.004,7.6002,0,0.192,,
,30,,1.05,8,1,W,Fall 2020,1.0079,7.8471,0,0.153,,
,36,,0.94,10,5,E,Fall 2020,1.0075,9.0396,0.2,0.092,,
