Plot.Myc.Legacy,Species.Myc.Type,Unit,Position,Species,Identifier.1,corrected.percent.C,corrected.percent.N,C:N,C13.corrected,N15.corrected
AM,AM,10_5,Edge,PRSE,10_5 E PRSE,51.68523306,5.043674447,10.24753552,-30.5526827,1.1963797
AM,AM,10_5,Center,PRSE,10_5 C PRSE,51.66749541,3.994538641,12.93453388,-31.13896144,0.946134155
AM,AM,10_5,Center,PRSE,10_5 C PRSE,52.2785377,4.193254967,12.46729286,-31.09281532,1.047634125
AM,AM,10_5,Center,PRSE,10_5 C PRSE,51.99269736,3.903130014,13.32077004,-30.69197775,1.881656688
EcM,EcM,14_5,Edge,BELE,14_5 E BELE,50.02418952,3.319224499,15.07104733,-32.14854795,5.275856837
EcM,EcM,14_5,Edge,BELE,14_5 E BELE,50.19451635,3.34828209,14.9911253,-32.11626907,5.319423729
EcM,EcM,14_5,Edge,BELE,14_5 E BELE,50.96723906,3.598761519,14.1624386,-31.89864343,4.80145834
EcM,AM,14_5,Center,NYSY,14_5 C NYSY,49.67892909,2.48082975,20.02512631,-30.16701677,3.590116239
EcM,AM,14_5,Center,NYSY,14_5 C NYSY,49.55408057,2.44201174,20.29231873,-29.84743354,3.538809686
EcM,AM,14_5,Edge,ACSA,14_5 E ACSA,51.34977449,1.670105136,30.74643228,-28.8040356,-0.034610255
EcM,AM,14_5,Edge,ACSA,14_5 E ACSA,51.47485339,1.680465025,30.63131491,-28.68849884,-0.072351975
EcM,AM,14_5,Edge,ACSA,14_5 E ACSA,51.01550058,2.013498164,25.33675048,-30.756415,1.617085013
EcM,AM,14_5,Edge,ACSA,14_5 E ACSA,50.79076037,1.959617241,25.91871479,-30.72636664,1.52415562
EcM,AM,14_5,Center,ACSA,14_5 C ACSA,51.16343759,2.325217381,22.00372232,-29.25062605,0.802476539
EcM,AM,14_5,Center,ACSA,14_5 C ACSA,51.1642692,2.008970477,25.46790497,-28.45130164,0.725772891
EcM,AM,14_5,Center,ACSA,14_5 C ACSA,50.04047705,2.421151159,20.66805159,-30.56294546,6.40084603
EcM,AM,14_5,Edge,PRSE,14_5 E PRSE,50.50566213,4.066424423,12.42016496,-30.00189887,2.507897302
EcM,AM,14_5,Edge,PRSE,14_5 E PRSE,50.377042,4.11238537,12.25007811,-30.83264926,4.563786874
EcM,AM,14_5,Edge,PRSE,14_5 E PRSE,50.27488784,3.823391033,13.14929271,-29.73701664,2.078501963
EcM,AM,14_5,Edge,PRSE,14_5 E PRSE,50.42848608,4.241353092,11.88971656,-31.31099602,4.631538703
EcM,AM,14_7,Center,PRSE,14_7 C PRSE,49.22112972,4.248115042,11.58658116,-29.91936784,3.080891045
EcM,AM,14_5,Center,PRSE,14_5 C PRSE,51.69675317,4.34110751,11.90865535,-31.39875447,5.183101177
EcM,AM,14_5,Center,PRSE,14_5 C PRSE,51.3880798,4.314973658,11.90924531,-31.53588646,5.553405233
EcM,AM,14_5,Edge,ACRU,14_5 E ACRU,51.41338476,2.656520494,19.35365637,-31.95818056,2.656052625
EcM,AM,14_5,Edge,ACRU,14_5 E ACRU,51.41661519,2.528739748,20.3329011,-31.74107796,2.067546729
EcM,AM,14_5,Edge,ACRU,14_5 E ACRU,52.00861074,2.279616689,22.81462976,-32.332083,2.617468544
EcM,AM,14_5,Edge,ACRU,14_5 E ACRU,51.47058475,1.429252606,36.0122378,-31.50036055,1.644970995
EcM,AM,14_5,Center,ACRU,14_5 C ACRU,51.57653882,2.504865453,20.5905426,-30.38997822,4.565280675
EcM,AM,14_7,Edge,ACRU,14_7 E ACRU,50.07115204,2.719897403,18.40920617,-32.64116244,1.215242678
EcM,AM,14_5,Center,ACRU,14_5 C ACRU,51.65751092,2.511721374,20.56657695,-29.8413215,4.498222452
EcM,AM,14_5,Center,ACRU,14_5 C ACRU,51.09681622,2.040098627,25.04624803,-32.28752279,4.665486397
EcM,AM,14_5,Center,ACRU,14_5 C ACRU,50.48780822,2.550745102,19.79335692,-31.51150753,3.053197004
EcM,EcM,14_5,Center,CACO,14_5 C CACO,49.66550119,1.866298038,26.61177378,-29.0881204,2.264111251
EcM,EcM,14_5,Edge,CACO,14_5 E CACO,50.30028019,2.433810681,20.66729372,-29.00039785,2.264454791
EcM,EcM,14_5,Edge,CACO,14_5 E CACO,49.94558635,2.287563206,21.83353282,-28.79647081,2.248409535
EcM,EcM,14_5,Edge,CACO,14_5 E CACO,49.04230686,1.950632862,25.14174134,-30.60059091,1.665690225
EcM,AM,14_7,Edge,ACRU,14_7 E ACRU,50.26164196,2.074833215,24.22442517,-31.67504346,1.907349072
EcM,EcM,14_5,Edge,TIAM,14_5 E TIAM,47.97029362,3.257730409,14.72506549,-30.1650352,5.11520452
EcM,EcM,14_5,Edge,TIAM,14_5 E TIAM,48.5027546,2.688426948,18.04131395,-29.84603162,1.993016484
EcM,EcM,14_5,Edge,TIAM,14_5 E TIAM,48.06346144,3.25057157,14.78615696,-32.58007167,4.557570648
EcM,EcM,14_5,Center,TIAM,14_5 C TIAM,48.4369764,3.274438083,14.79245451,-29.44151143,2.730389373
EcM,EcM,14_5,Center,TIAM,14_5 C TIAM,48.69233599,3.153414751,15.4411455,-28.74909373,3.339068072
EcM,EcM,14_5,Center,TIAM,14_5 C TIAM,49.27045329,3.286009072,14.99401012,-29.0486525,2.414448994
EcM,EcM,14_5,Center,QURU,14_5 C QURU,50.29474164,2.281694441,22.04271559,-27.81539535,3.851098816
EcM,EcM,14_5,Center,QURU,14_5 C QURU,49.25261544,2.168811877,22.70949176,-30.53704547,3.296788397
EcM,EcM,14_5,Center,QURU,14_5 C QURU,49.01200654,2.178442381,22.49864718,-30.76803123,2.8983614
EcM,EcM,14_5,Center,QURU,14_5 C QURU,48.97641072,2.075978951,23.59195921,-29.67273746,1.960742271
EcM,EcM,14_5,Center,QURU,14_5 C QURU,50.02160864,2.201301057,22.7236563,-27.64106716,4.037461081
EcM,EcM,14_7,Center,QURU,14_7 C ACRU,48.35211366,2.772523951,17.43974606,-31.78720848,2.449726463
EcM,EcM,14_5,Edge,QURU,14_5 E QURU,50.38982155,2.226486119,22.63199447,-27.39688576,2.435783304
EcM,EcM,14_5,Edge,QURU,14_5 E QURU,49.65386841,2.359307655,21.04594893,-30.0427689,4.613322713
EcM,EcM,14_5,Edge,QURU,14_5 E QURU,49.50606443,2.438465704,20.30213685,-31.36713441,4.726744742
EcM,EcM,14_5,Edge,QURU,14_5 E QURU,49.30664561,2.310634621,21.33900581,-30.79616377,5.565989677
EcM,AM,14_5,Edge,NYSY,14_5 E NYSY,47.93782625,1.835389801,26.11860773,-28.66526072,4.839539548
EcM,AM,14_5,Edge,NYSY,14_5 E NYSY,51.25942904,2.686522236,19.08021767,-26.89154593,4.354644933
EcM,AM,14_5,Edge,NYSY,14_5 E NYSY,48.74999718,2.13602315,22.82278503,-30.11674123,5.318488817
EcM,AM,14_5,Edge,NYSY,14_5 E NYSY,48.72218478,2.108470894,23.10782896,-30.14733926,5.28128456
EcM,EcM,3_5,Center,QURU,3_5 C QURU,47.71244841,1.829950608,26.0730799,-29.72858869,4.073430721
EcM,EcM,3_5,Center,QURU,3_5 C QURU,48.806072,1.63998994,29.75998255,-27.75377533,2.9013323
EcM,EcM,3_5,Center,QURU,3_5 C QURU,48.8067114,1.789876458,27.26820121,-29.74219203,2.503388402
EcM,EcM,3_5,Center,QURU,3_5 C QURU,51.07247023,1.691686644,30.19026628,-27.42429513,2.010556857
EcM,AM,14_6,Center,ACSA,14_6 C ACSA,48.84029197,2.098846119,23.27006803,-29.41409535,3.637215765
EcM,AM,14_6,Edge,PRSE,14_6 E PRSE,31.36595673,2.44334165,12.83731922,-30.85565617,2.187872286
AM,EcM,2_9,Center,QURU,2_9 C QURU,49.37298343,2.447804532,20.17031294,-27.71459807,4.10507278
AM,EcM,2_9,Center,QURU,2_9 C QURU,48.36514228,2.150727478,22.487806,-30.02129186,2.889447393
AM,AM,2_5,Center,ACRU,2_5 C ACRU,49.5683211,2.354133949,21.05586265,-30.46393678,2.169846031
AM,AM,2_5,Center,ACRU,2_5 C ACRU,50.19968389,2.091421338,24.00266411,-30.02101542,6.195603991
EcM,EcM,14_6,Edge,TIAM,14_6 E TIAM,47.18537705,2.602429664,18.13127851,-30.48355388,2.827391565
EcM,EcM,14_6,Edge,TIAM,14_6 E TIAM,47.07116337,2.585643002,18.2048192,-30.52614763,2.765023331
EcM,EcM,14_6,Edge,TIAM,14_6 E TIAM,48.60540492,2.781346142,17.47549655,-30.33881463,1.550845125
EcM,AM,14_7,Edge,NYSY,14_7 E NYSY,47.28061878,1.71372504,27.58938434,-31.42787588,4.654077403
EcM,AM,14_7,Edge,NYSY,14_7 E NYSY,47.33017798,1.585941043,29.84359235,-31.30861219,4.699553261
EcM,EcM,14_7,Center,BELE,14_7 C BELE,48.90847071,3.612989607,13.53684235,-31.33152384,4.703626421
EcM,EcM,14_7,Center,BELE,14_7 C BELE,49.56755495,3.614885605,13.71206737,-31.40610845,4.880811928
EcM,AM,14_6,Center,NYSY,14_6 C NYSY,47.49844305,2.495970383,19.03005074,-29.13785345,4.142894201
EcM,AM,14_6,Center,NYSY,14_6 C NYSY,47.19167589,2.364170409,19.96119895,-29.28342245,4.34732228
EcM,EcM,14_7,Center,TIAM,14_7 C TIAM,48.1635489,3.39604414,14.18225056,-31.79273705,3.772887095
EcM,EcM,14_7,Center,TIAM,14_7 C TIAM,48.09589064,3.294795093,14.5975362,-31.7431875,4.050226674
EcM,EcM,14_7,Edge,BELE,14_7 E BELE,48.71516555,3.052214445,15.96059727,-32.16950765,5.114690054
EcM,EcM,14_7,Edge,BELE,14_7 E BELE,48.33585014,3.124928733,15.4678248,-32.23452441,3.977923435
EcM,AM,14_7,Edge,ACSA,14_7 E ACSA,49.75725854,1.642742123,30.28914754,-29.18487994,1.481891781
EcM,AM,14_7,Edge,ACSA,14_7 E ACSA,48.81843111,1.793271773,27.22310798,-27.61900087,2.759064082
EcM,AM,14_7,Center,ACSA,14_7 C ACSA,46.99471153,2.08741685,22.51333342,-30.23325592,1.095924567
EcM,AM,14_7,Center,ACSA,14_7 C ACSA,47.76040079,1.885569355,25.32943202,-29.82982228,2.602398415
EcM,EcM,14_7,Center,CACO,14_7 C CACO,47.41621534,2.961144759,16.01279883,-29.43722836,2.129522833
EcM,EcM,14_7,Center,CACO,14_7 C CACO,48.30338174,2.766584214,17.45957397,-28.20393626,1.857867212
EcM,EcM,14_7,Edge,TIAM,14_7 E TIAM,45.79594439,2.931722484,15.620832,-30.21346625,2.113154148
EcM,EcM,14_7,Edge,TIAM,14_7 E TIAM,45.35390264,2.949004767,15.37939279,-31.91802665,4.619191728
EcM,EcM,14_6,Center,CACO,14_6 C CACO,47.39975517,1.994657476,23.76335573,-26.41430778,1.090742701
EcM,EcM,14_6,Center,CACO,14_6 C CACO,47.852514,2.241352044,21.34984288,-28.30617939,-0.359510441
EcM,EcM,14_6,Edge,CACO,14_6 E CACO,48.17612524,2.166416239,22.237705,-28.58540326,-0.701400868
EcM,EcM,14_6,Edge,CACO,14_6 E CACO,47.92842031,2.327801983,20.58956073,-28.38842226,-0.999635573
EcM,AM,14_6,Edge,PRSE,14_6 E PRSE,49.72598365,4.273184324,11.6367514,-30.64971401,1.04493822
EcM,AM,14_6,Edge,PRSE,14_6 E PRSE,49.40380577,3.236543251,15.26437373,-28.86939488,1.245707738
EcM,AM,14_6,Edge,ACRU,14_6 E ACRU,48.88999794,2.129099247,22.96276137,-32.28211253,2.146772928
EcM,AM,14_6,Edge,ACRU,14_6 E ACRU,48.57306088,2.070637428,23.45802322,-32.44305624,4.075556382
EcM,AM,14_6,Center,ACRU,14_6 C ACRU,49.62580063,2.225821582,22.295498,-32.51592342,2.09476677
EcM,AM,14_6,Center,ACRU,14_6 C ACRU,49.36374547,2.132310138,23.15035913,-31.74008366,4.062304442
EcM,EcM,14_6,Center,TIAM,14_6 C TIAM,46.17908015,3.422820508,13.49152841,-30.37565734,2.948799735
EcM,EcM,14_6,Center,TIAM,14_6 C TIAM,46.73703227,2.963589414,15.7704141,-29.60749609,3.403566499
EcM,EcM,14_6,Edge,QURU,14_6 E QURU,47.68107212,2.89751578,16.45584554,-30.07038533,5.615672127
EcM,EcM,14_6,Edge,QURU,14_6 E QURU,47.6270028,2.740566336,17.37852581,-29.63006584,5.831438891
EcM,EcM,14_6,Center,QURU,14_6 C QURU,47.52234967,2.44291643,19.45312131,-30.42762157,6.276044889
EcM,EcM,14_6,Center,QURU,14_6 C QURU,47.49337131,2.324039354,20.43570012,-29.71403271,5.90747196
EcM,AM,14_6,Edge,NYSY,14_6 E NYSY,46.87433183,2.554632166,18.34875973,-28.50719725,5.087720651
EcM,AM,14_6,Edge,NYSY,14_6 E NYSY,46.84195209,2.541245934,18.43267173,-28.74838185,5.16363846
EcM,AM,14_6,Center,PRSE,14_6 C PRSE,50.33371309,3.112209138,16.17298544,-29.94700392,5.113744539
EcM,AM,14_6,Center,PRSE,14_6 C PRSE,50.3904416,3.211395051,15.69113759,-29.94208884,4.903104963
EcM,EcM,14_7,Center,QURU,14_7 C QURU,46.97488249,2.637837767,17.80810142,-30.19706409,6.138558999
EcM,EcM,14_7,Center,QURU,14_7 C QURU,46.87745206,2.536124663,18.48389109,-30.29437431,6.155416829
EcM,EcM,14_7,Edge,QURU,14_7 E QURU,47.97567311,2.555638856,18.77247757,-29.89891766,6.227754026
