Unit,plot,Position,Species,N15.corrected,Location,ID,REALGrowth,ID2,myc.species.type,myc.legacy.type
10,5,Center,ACRU,2.293890203,10_5,10_5.Center.ACRU,4.932514466,10_5.ACRU,AM,AM
10,5,Center,ACSA,2.339859795,10_5,10_5.Center.ACSA,-8.796233835,10_5.ACSA,AM,AM
10,5,Center,BELE,2.182512317,10_5,10_5.Center.BELE,13.77050527,10_5.BELE,EcM,AM
10,5,Center,CACO,1.219944456,10_5,10_5.Center.CACO,0.065580691,10_5.CACO,EcM,AM
10,5,Center,PRSE,1.291808323,10_5,10_5.Center.PRSE,108.6237467,10_5.PRSE,AM,AM
10,5,Center,TIAM,2.55821167,10_5,10_5.Center.TIAM,-3.428888405,10_5.TIAM,EcM,AM
10,5,Edge,ACRU,1.026485131,10_5,10_5.Edge.ACRU,16.9651096,10_5.ACRU,AM,AM
10,5,Edge,ACSA,-0.786501948,10_5,10_5.Edge.ACSA,2.67676558,10_5.ACSA,AM,AM
10,5,Edge,CACO,1.423148811,10_5,10_5.Edge.CACO,-0.031677699,10_5.CACO,EcM,AM
10,5,Edge,NYSY,2.144224662,10_5,10_5.Edge.NYSY,9.158782047,10_5.NYSY,AM,AM
10,5,Edge,PRSE,1.368920111,10_5,10_5.Edge.PRSE,129.8771386,10_5.PRSE,AM,AM
10,5,Edge,QURU,4.22347537,10_5,10_5.Edge.QURU,5.072396255,10_5.QURU,EcM,AM
10,5,Edge,TIAM,2.169769137,10_5,10_5.Edge.TIAM,1.290067754,10_5.TIAM,EcM,AM
14,5,Center,ACRU,4.195546632,14_5,14_5.Center.ACRU,19.74685665,14_5.ACRU,AM,EcM
14,5,Center,ACSA,2.64303182,14_5,14_5.Center.ACSA,,14_5.ACSA,AM,EcM
14,5,Center,CACO,2.264111251,14_5,14_5.Center.CACO,-0.143256512,14_5.CACO,EcM,EcM
14,5,Center,NYSY,3.564462963,14_5,14_5.Center.NYSY,3.470311575,14_5.NYSY,AM,EcM
