Date,Unit,Plot,Direction,Replicate,resin.moisture.VWC,Fall2020 ID,Number,horizon,MT,Treatment,Root.wt.g,Bulk density,GWC,pH,per.C,per.N,NO3.mg.gresin,PO4.mg.gresin,NH4.mg.gresin,
Fall2020,1,1,N,,12.3,46.B,42,B,EcM,Control,1.7256,0.5734422582,0.14944207,4.86,3.959152228,0.1745930001,0.032423835,0.07549248,0.02416668,
Fall2020,1,1,S,,21.3,44.B,40,B,EcM,Control,0.0374,0.4496586167,0.21290466,5.54,2.472208024,0.07769356989,0.037589266,0.00122131,0.01526259,
Fall2020,1,1,W,,16.1,45.B,41,B,EcM,Control,1.1132,0.5101142689,0.12982429,4.77,3.903779503,0.1896582574,0.039923172,0.02867334,0.01280229,
Fall2020,1,10,E,,10.9,5.B,4,B,EcM,Control,0.4856,0.7435386949,0.04674392,5.17,2.93433662,0.1771468988,0.036517039,0.09188583,0.01285615,
Fall2020,1,10,N,,9.7,3.B,2,B,EcM,Control,0.2779,0.5024971715,0.2173618,5.11,3.053725481,0.15306357,0.03780201,0.03027582,0.01068395,
Fall2020,1,10,W,,19.4,4.B,3,B,EcM,Control,0.1643,0.904472746,0.16329753,5.31,2.307466581,0.09515078231,0.041299877,0.00329083,0.00882489,
Fall2020,2,5,SE,,24.4,1.B,1,B,EcM,Cut,0.8826,0.5197709775,0.21120752,5.32,3.103303043,0.1955098175,0.039594827,0.00936652,0.01070573,
Fall2020,2,9,E,,29.8,6.B,94,B,AM,Cut,0.2074,0.6266758805,0.26567621,5.33,3.492013193,0.2043011189,0.067889946,-0.0014794,0.01341264,
Fall2020,2,9,S,,25.2,7.B,5,B,AM,Cut,0.5699,0.7699931228,0.09757504,5.3,4.281719627,0.2809010514,0.038878726,-0.0020696,0.01551275,
Fall2020,2,9,W,,11.2,8.B,6,B,AM,Cut,0.8549,0.5543675694,0.22937236,5.26,4.145970963,0.2408028268,0.044189219,-0.0008083,0.0142579,
Fall2020,3,5,N,,23,9.B,92,B,AM,Cut,0.3945,0.5089947694,0.32427051,5.9,7.388591846,0.5678493457,0.041251964,0.00838135,0.01267743,
Fall2020,3,5,S,,32.4,10.B,93,B,AM,Cut,0.9663,0.606876524,0.28195823,5.17,6.820805083,0.4567025148,0.040557505,0.01854057,0.01234663,
Fall2020,3,5,W,,27.8,11.B,7,B,AM,Cut,0.3397,0.6300863547,0.27426534,5.33,6.553265432,0.4445293366,0.038187238,0.0012075,0.00914369,
Fall2020,4,10,N,,17.5,12.B,8,B,AM,Control,0.2003,0.7016550345,0.16060012,5.57,3.275954057,0.214683151,0.035806981,-0.0010594,0.01034954,
Fall2020,4,10,S,,32.7,14.B,10,B,AM,Control,1.1357,0.5905087545,0.26074028,5.54,3.770609566,0.2598824473,0.076402432,-0.0014913,0.01214789,
Fall2020,4,10,W,,15.1,13.B,9,B,AM,Control,0.0786,0.5871718974,0.20528403,5.57,3.71630946,0.230623847,0.055214077,-0.0030909,0.01365268,
Fall2020,6,5,E,,8.1,16.B,12,B,AM,Control,0.4687,0.5234121485,0.2486008,6.27,4.548687564,0.4043207233,0.163560416,-0.0019443,0.00769702,
Fall2020,6,5,N,,31.9,17.B,13,B,AM,Control,0.0254,0.5076294571,0.32951471,5.99,5.962369294,0.4980288632,0.048410003,-0.0024699,0.01114305,
Fall2020,6,5,W,,25.5,15.B,11,B,AM,Control,0.0501,0.6978694495,0.20992158,6.08,2.405072463,0.2292901251,0.043155981,-0.0030369,0.01196152,
Fall2020,8,1,E,,23.2,20.B,16,B,AM,Cut,0.4421,0.4767289659,0.2478387,5.73,6.651975995,0.6181821614,0.045793582,-0.0021586,0.00910631,
Fall2020,8,1,N,,32,18.B,14,B,AM,Cut,0.1899,0.5737727721,0.18604643,4.99,4.171837482,0.3209552894,0.048390071,0.00029506,0.02288284,
Fall2020,10,5,N,,33.5,21.B,17,B,AM,Cut,0.929,0.5643308467,0.25695252,5.22,6.311991386,0.4257839935,0.075994999,0.00025981,0.01112282,
Fall2020,10,5,SE,,26.1,23.B,19,B,AM,Cut,0.4167,0.5714669835,0.22015999,6.51,3.240751824,0.2735258202,0.064983868,-0.0003037,0.00840058,
Fall2020,10,5,SW,,34.7,22.B,18,B,AM,Cut,0.4897,0.5842784264,0.19951032,5.04,3.923934585,0.216806287,0.056593628,0.00067213,0.01157801,
Fall2020,12,11,E,,26.7,26.B,22,B,AM,Control,0.2818,0.5654270841,0.25202246,5.51,4.760901939,0.309144343,0.037397987,0.00142619,0.01644465,
Fall2020,12,11,N,,26.6,24.B,20,B,AM,Control,1.8068,0.5973909481,0.21175918,5.12,3.056262366,0.2406815662,0.043123108,0.01592238,0.01771525,
Fall2020,12,11,W,,20.4,25.B,21,B,AM,Control,0.3978,0.5531310898,0.21571345,5.25,3.976618018,0.3263469858,0.083367092,0.00178803,0.00871354,
Fall2020,13,5,E,,28.6,29.B,25,B,AM,Control,0.0826,0.2846933854,0.21506641,5.22,4.533569413,0.3137209515,0.044356826,0.00070408,0.0087475,
Fall2020,13,5,NW,,22,27.B,23,B,AM,Control,0.4872,0.5997116694,0.20922346,5.17,4.668947758,0.3526413274,0.078816959,0.00062928,0.01197026,
Fall2020,13,5,W,,13.5,28.B,24,B,AM,Control,0.268,0.5416857193,0.17953754,5.15,2.751792929,0.2208704871,0.058287328,0.00346643,0.02792181,
Fall2020,14,1,E,,11.3,31.B,27,B,EcM,Control,0.6385,0.4960057836,0.28220203,4.92,5.036023647,0.205688149,0.021491385,0.0003358,0.00927099,
Fall2020,14,1,N,,12.3,30.B,26,B,EcM,Control,1.1357,0.4439139242,0.29445954,4.63,7.952148017,0.3566874301,0.034965819,0,0.01177143,
Fall2020,14,1,S,,16.3,32.B,28,B,EcM,Control,0.2396,0.5449232239,0.23263991,4.8,5.295666616,0.1812175481,0.031779693,0.00334523,0.00888969,
