Unit,Plot,Species,myc.species.type,myc.legacy.type,Num.,Tag ID,REALGrowth,Prox
10,5,ACRU,AM,AM,1,10_5 ACRU_1,0.058904813,Center
10,5,ACRU,AM,AM,4,10_5 ACRU_4,4.188786667,Center
10,5,ACRU,AM,AM,5,10_5 ACRU_5,32.39764688,Edge
10,5,ACRU,AM,AM,6,10_5 ACRU_6,1.795942283,Edge
10,5,ACRU,AM,AM,8,10_5 ACRU_8,66.1618854,Edge
10,5,ACRU,AM,AM,9,10_5 ACRU_9,7.363101563,Center
10,5,ACRU,AM,AM,11,10_5 ACRU_11,17.38870065,Center
10,5,ACRU,AM,AM,12,10_5 ACRU_12,18.72911238,Edge
10,5,ACRU,AM,AM,13,10_5 ACRU_13,0,Edge
10,5,ACRU,AM,AM,14,10_5 ACRU_14,0.306305025,Edge
10,5,ACRU,AM,AM,15,10_5 ACRU_15,3.403389167,Edge
10,5,ACRU,AM,AM,16,10_5 ACRU_16,5.38782685,Edge
10,5,ACRU,AM,AM,17,10_5 ACRU_17,0.146607533,Center
10,5,ACRU,AM,AM,18,10_5 ACRU_18,0.448985571,Center
10,5,ACRU,AM,AM,19,10_5 ACRU_19,12.0637056,Edge
10,5,ACRU,AM,AM,20,10_5 ACRU_20,29.4052824,Edge
10,5,ACSA,AM,AM,1,10_5 ACSA_1,0.23561925,Edge
10,5,ACSA,AM,AM,2,10_5 ACSA_2,1.843066133,Edge
10,5,ACSA,AM,AM,4,10_5 ACSA_4,0.397934733,Center
10,5,ACSA,AM,AM,6,10_5 ACSA_6,-0.5026544,Center
10,5,ACSA,AM,AM,7,10_5 ACSA_7,7.742710354,Edge
10,5,ACSA,AM,AM,8,10_5 ACSA_8,16.6190111,Edge
10,5,ACSA,AM,AM,9,10_5 ACSA_9,-0.01570795,Center
10,5,ACSA,AM,AM,11,10_5 ACSA_11,-61.28456693,Center
10,5,ACSA,AM,AM,12,10_5 ACSA_12,0,Edge
10,5,ACSA,AM,AM,13,10_5 ACSA_13,0,Edge
10,5,ACSA,AM,AM,14,10_5 ACSA_14,0,Edge
10,5,ACSA,AM,AM,15,10_5 ACSA_15,0.327248958,Edge
10,5,ACSA,AM,AM,17,10_5 ACSA_17,0,Center
10,5,ACSA,AM,AM,18,10_5 ACSA_18,8.627591538,Center
10,5,ACSA,AM,AM,19,10_5 ACSA_19,0,Edge
10,5,ACSA,AM,AM,20,10_5 ACSA_20,0,Edge
10,5,NYSY,AM,AM,1,10_5 NYSY_1,0,Edge
10,5,NYSY,AM,AM,2,10_5 NYSY_2,50.26544,Edge
10,5,NYSY,AM,AM,7,10_5 NYSY_7,4.843284583,Center
10,5,NYSY,AM,AM,8,10_5 NYSY_8,0.883572188,Center
10,5,NYSY,AM,AM,10,10_5 NYSY_10,3.591884567,Edge
10,5,NYSY,AM,AM,12,10_5 NYSY_12,0,Edge
10,5,NYSY,AM,AM,13,10_5 NYSY_13,-4.105010933,Center
10,5,NYSY,AM,AM,15,10_5 NYSY_15,0,Edge
10,5,NYSY,AM,AM,16,10_5 NYSY_16,0,Edge
10,5,NYSY,AM,AM,19,10_5 NYSY_19,10.25414976,Edge
10,5,PRSE,AM,AM,4,10_5 PRSE_4,82.29395005,Edge
10,5,PRSE,AM,AM,5,10_5 PRSE_5,88.25773507,Edge
10,5,PRSE,AM,AM,6,10_5 PRSE_6,507.6652361,Edge
10,5,PRSE,AM,AM,7,10_5 PRSE_7,120.637056,Edge
10,5,PRSE,AM,AM,8,10_5 PRSE_8,0.043196863,Edge
10,5,PRSE,AM,AM,9,10_5 PRSE_9,57.14944909,Edge
10,5,PRSE,AM,AM,10,10_5 PRSE_10,206.8396676,Center
10,5,PRSE,AM,AM,11,10_5 PRSE_11,322.7041248,Edge
10,5,PRSE,AM,AM,13,10_5 PRSE_13,205.2714906,Center
10,5,PRSE,AM,AM,14,10_5 PRSE_14,14.137155,Center
10,5,PRSE,AM,AM,16,10_5 PRSE_16,4.453203825,Edge
10,5,PRSE,AM,AM,17,10_5 PRSE_17,0.733037667,Edge
10,5,PRSE,AM,AM,18,10_5 PRSE_18,-9.75463695,Edge
10,5,PRSE,AM,AM,19,10_5 PRSE_19,8.24667375,Center
10,5,PRSE,AM,AM,20,10_5 PRSE_20,254.466172,Edge
10,5,BELE,EcM,AM,4,10_5 BELE_4,28.63428385,Center
10,5,BELE,EcM,AM,8,10_5 BELE_8,35.66804207,Edge
10,5,BELE,EcM,AM,9,10_5 BELE_9,53.85208858,Edge
10,5,BELE,EcM,AM,19,10_5 BELE_19,-1.09327332,Center
10,5,CACO,EcM,AM,1,10_5 CACO_1,-0.01884954,Edge
10,5,CACO,EcM,AM,2,10_5 CACO_2,-0.002356193,Center
10,5,CACO,EcM,AM,3,10_5 CACO_3,0.044767658,Center
10,5,CACO,EcM,AM,5,10_5 CACO_5,0.16964586,Edge
10,5,CACO,EcM,AM,7,10_5 CACO_7,-0.39584034,Center
10,5,CACO,EcM,AM,8,10_5 CACO_8,0.005235983,Edge
10,5,CACO,EcM,AM,10,10_5 CACO_10,-0.124354604,Edge
10,5,CACO,EcM,AM,12,10_5 CACO_12,-0.25446879,Edge
10,5,CACO,EcM,AM,16,10_5 CACO_16,0.61575164,Center
